category,title,status,brief
Trie,Construct a trie from scratch,unsolved,
Trie,Find shortest unique prefix for every word in a given list,unsolved,
Trie,Word Break Problem | (Trie solution),unsolved,
Trie,"Given a sequence of words, print all anagrams together",unsolved,
Trie,Implement a Phone Directory,unsolved,
Trie,Print unique rows in a given boolean matrix,unsolved,
Searching and Sorting,Find first and last positions of an element in a sorted array,solved,
Searching and Sorting,Find a Fixed Point (Value equal to index) in a given array,solved,
Searching and Sorting,Search in a rotated sorted array,solved,
Searching and Sorting,square root of an integer,solved,
Searching and Sorting,Maximum and minimum of an array using minimum number of comparisons,solved,
Searching and Sorting,Optimum location of point to minimize total distance,unsolved,
Searching and Sorting,Find the repeating and the missing,unsolved,
Searching and Sorting,find majority element,solved,
Searching and Sorting,Searching in an array where adjacent differ by at most k,solved,
Searching and Sorting,find a pair with a given difference,solved,
Searching and Sorting,find four elements that sum to a given value,unsolved,
Searching and Sorting,maximum sum such that no 2 elements are adjacent,solved,
Searching and Sorting,Count triplet with sum smaller than a given value,solved,
Searching and Sorting,merge 2 sorted arrays,unsolved,
Searching and Sorting,print all subarrays with 0 sum,solved,
Searching and Sorting,Product array Puzzle,solved,
Searching and Sorting,Sort array according to count of set bits,unsolved,
Searching and Sorting,minimum no. of swaps required to sort the array,solved,
Searching and Sorting,Bishu and Soldiers,unsolved,
Searching and Sorting,Rasta and Kheshtak,unsolved,
Searching and Sorting,Kth smallest number again,unsolved,
Searching and Sorting,Find pivot element in a sorted array,unsolved,
Searching and Sorting,K-th Element of Two Sorted Arrays,unsolved,
Searching and Sorting,Aggressive cows,unsolved,
Searching and Sorting,Book Allocation Problem,unsolved,
Searching and Sorting,EKOSPOJ:,unsolved,
Searching and Sorting,Job Scheduling Algo,unsolved,
Searching and Sorting,Missing Number in AP,unsolved,
Searching and Sorting,Smallest number with atleastn trailing zeroes infactorial,unsolved,
Searching and Sorting,Painters Partition Problem:,unsolved,
Searching and Sorting,ROTI-Prata SPOJ,unsolved,
Searching and Sorting,DoubleHelix SPOJ,unsolved,
Searching and Sorting,Subset Sums,unsolved,
Searching and Sorting,Findthe inversion count,unsolved,
Searching and Sorting,Implement Merge-sort in-place,unsolved,
Searching and Sorting,Partitioning and Sorting Arrays with Many Repeated Entries,unsolved,
Linked List,Write a Program to reverse the Linked List. (Both Iterative and recursive),attempted,Only Iteratie done
Linked List,Reverse a Linked List in group of Given Size. [Very Imp],unsolved,
Linked List,Write a program to Detect loop in a linked list.,solved,Fast slow method
Linked List,Find the starting point of the loop.,solved,
Linked List,Remove Duplicates in a sorted Linked List.,solved,
Linked List,Remove Duplicates in a Un-sorted Linked List.,solved,
Linked List,Write a Program to Move the last element to Front in a Linked List.,solved,
Linked List,Add “1” to a number represented as a Linked List.,solved,Recurssion use karke kiya hai and ig its the best solution
Linked List,Add two numbers represented by linked lists.,solved,Recurssion use karna hai but dikkat yeh hai ke num1 ya num 2 khatm ho jaay toh kya(i.e jo chota number hai usske head ke baad)
Linked List,Intersection of two Sorted Linked List.,solved,
Linked List,Intersection Point of two Linked Lists.,unsolved,Abhi toh bohot bekkar method use kar raha hu need to find a optimal solution as time limit exceed ho rahi hai
Linked List,Merge Sort For Linked lists.[Very Important],attempted,
Linked List,Quicksort for Linked Lists.[Very Important],unsolved,
Linked List,Find the middle Element of a linked list.,solved,
Linked List,Check if a linked list is a circular linked list.,solved,
Linked List,Split a Circular linked list into two halves.,attempted,Teaches how to use pair
Linked List,Write a Program to check whether the Singly Linked list is a palindrome or not.,unsolved,
Linked List,Deletion from a Circular Linked List.,attempted,Bhai issme bohot bohot complications hai acche se dekhna maine kya kya kiya hai to understand all the complications
Linked List,Reverse a Doubly Linked list.,solved,
Linked List,Find pairs with a given sum in a DLL.,solved,
Linked List,Count triplets in a sorted DLL whose sum is equal to given value “X”.,solved,
Linked List,Sort a “k”sorted Doubly Linked list.[Very IMP],unsolved,
Linked List,Rotate DoublyLinked list by N nodes.,unsolved,
Linked List,Rotate a Doubly Linked list in group of Given Size.[Very IMP],unsolved,
Linked List,Can we reverse a linked list in less than O(n) ?,unsolved,
Linked List,Why Quicksort is preferred for. Arrays and Merge Sort for LinkedLists ?,unsolved,
